id,name,force,level,mechanic,equipment,category,primary_muscles,secondary_muscles,instructions
wger_297,Hollow Hold,,,,"Gym mat, none (bodyweight exercise)",Abs,Obliquus externus abdominis|Abs,,"Get on a mat and lie on your back. Contract your abs, stretch your raise and legs and raise them (your head and shoulders are also be raised). Make sure your lower back remains in contact with the mat."
wger_1634,Rope Pullover/row,,,,Incline bench,Back,Lats,,Set up bench in front of cable row machine. Lean over bench to do a row/pullover with rope that targets lats. See picture.
wger_1637,Single arm row,,,,Incline bench,Back,Lats,,"Sitting on the ground, use a high cable in a single grip, to do lat pulldowns with a focus on a long stretch in the lats."
wger_1638,Barbell Clean and press,,,,Dumbbell,Shoulders,Shoulders|Chest,,"This exercise involves lifting a barbell from the ground to the shoulders, then pressing it overhead. It is a compound movement that targets multiple muscle groups, including the legs, back, shoulders, and arms. It is often used in strength and conditioning programs to improve overall power and athleticism."
wger_268,Good Mornings,,,,,Legs,Hamstrings,,
wger_310,Incline Dumbbell Row,,,,"Dumbbell, Incline bench",Back,,Lats,"Using a neutral grip, lean into an incline bench. Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position. Retract the shoulder blades and flex the elbows to row the dumbbells to your side. Pause at the top of the motion, and then return to the starting position."
wger_827,Front Plate Raise,,,,,Shoulders,Shoulders,,"The plate front raise is a variation of the dumbbell front raise where the lifter holds a weight plate between two hands, rather than using a dumbbell, barbell, or other weight. It can provide variety in a shoulder-focused muscle-building workout, or as part of an upper body or full-body circuit. While standing straight, hold a barbell plate in both hands at the 3 and 9 o'clock positions. Your palms should be facing each other and your arms should be extended and locked with a slight bend at the elbows and the plate should be down near your waist in front of you as far as you can go. Tip : The arms will remain in this position throughout the exercise. This will be your starting position. Slowly raise the plate as you exhale until it is a little above shoulder level. Hold the contraction for a second. As you inhale, slowly lower the plate back down to the starting position. Repeat for the recommended amount of repetitions."
wger_365,Leg Curls (laying),,,,,Legs,Hamstrings,,"Lay on a bench and put your calves behind the leg holder (better if they are hold on around the lower calves). Hold a grip on the bars to make sure the body is firmly in place. Bend your legs bringing the weight up, go slowly back. During the exercise the body should not move, all work is done by the legs."
wger_354,Lat Pull Down (Leaning Back),,,,,Back,Lats,,"Lean Back, Pull into chest"
wger_355,Lat Pull Down (Straight Back),,,,,Back,Lats,,Pull bar down to strenum and keep straight back.
wger_366,Leg Curls (sitting),,,,,Legs,Hamstrings,,
wger_349,"Lateral Rows on Cable, One Armed",,,,,Shoulders,Shoulders,,"Set cable at waist height, start with arm across your belly and move han over and out too other side, one arm at the time."
wger_348,Lateral Raises,,,,Dumbbell,Shoulders,Shoulders,,"This exercise works the deltoid muscle of the shoulder. The movement starts with the arms straight, and the hands holding weights at the sides or in front of the body. Body is in a slight forward-leaning position with hips and knees bent a little. Arms are kept straight or slightly bent, and raised through an arc of movement in the coronal plane that terminates when the hands are at approximately shoulder height. Weights are lowered to the starting position, completing one rep. When using a cable machine the individual stands with the coronal plane in line with the pulley, which is at or near the ground.[9] The exercise can be completed one shoulder at a time (with the other hand used to stabilize the body against the weight moved), or with both hands simultaneously if two parallel pulleys are available."
wger_902,Barbell Hip Thrust,,,,Barbell,Legs,Glutes,,"Sit on the ground with a bench behind you, bending your knees so your feet are planted on the ground and holding a barbell resting below your hips. If you have a padded bar, or anything you can slip in between the bar and your body, it will go a long way to making the exercise more comfortable."
wger_916,Smith Press,,,,Incline bench,Shoulders,Shoulders,,"Sitting almost 90 degree angle, smith machine&nbsp;"
wger_314,Isometric Wipers,,,,none (bodyweight exercise),Chest,Chest,Abs,"Assume push-up position, with hands slightly wider than shoulder width. Shift body weight as far as possible to one side, allowing the elbow on that side to flex. Reverse the motion, moving completely over to the other side. Return to the starting position, and repeat for the desired number of repetitions."
wger_364,Leg Curl,,,,,Legs,Hamstrings|Glutes,,"The leg curl, also known as the hamstring curl, is an isolation exercise that targets the hamstring muscles. The exercise involves flexing the lower leg against resistance towards the buttocks. Other exercises that can be used to strengthen the hamstrings are the glute-ham raise and the deadlift."
wger_351,Lateral-to-Front Raises,,,,Dumbbell,Shoulders,Shoulders|Trapezius,,"-(1) Perform a lateral raise, pausing at the top of the lift (2). -Instead of lowering the weight, bring it to the front of your body so that you appear to be at the top position of a front raise. You will do this by using a Pec Fly motion, maintaining straight arms. (3) -Now lower the weight to your quadriceps, or, in other words, lower the dumbbells as though you are completing a Front Raise repetition. (4) -Reverse the motion: Perform a front raise (5), at the apex of the lift use a Reverse Fly motion to position the weights at the top of a Lateral Raise (6), and finally, lower the weights until your palms are essentially touching the sides of your thighs (7). THIS IS ONE REP. (1) l front view (2) -l- FV (3) l- side view (4) l SV/FV (5) l- SV (6) -l- FV (7) l FV/SV"
wger_313,Incline Push up,,,,,Chest,Chest,Hamstrings,Regular push with a 30 degree incline.
wger_341,Squats on Multipress,,,,,Legs,Quads,Glutes,
wger_308,Incline Dumbbell Fly,,,,"Dumbbell, Incline bench",Chest,Chest,,"Use inclined bench. Hold dumbbells straight out to your sides, elbows slightly bent. Bring arms together above you, keeping angle of elbows fixed."
wger_320,Jumping Jacks,,,,,Legs,Quads,,"A jumping jack or star jump, also called side-straddle hop in the US military, is a physical jumping exercise performed by jumping to a position with the legs spread wide and the hands going overhead, sometimes in a clap, and then returning to a position with the feet together and the arms at the sides"
wger_312,Incline Plank With Alternate Floor Touch,,,,,Abs,Abs,Obliquus externus abdominis,"Perform the plank with legs elevated, feet on a gymball. Once stabilised, slowly move one foot sideways off the ball, then make it touch the floor, then come back to starting position. Alternate with the other foot. This is a core exercise."
wger_331,Kettlebell Swings,,,,Kettlebell,Legs,Glutes,Hamstrings,"Hold the kettlebell securely in both hands. Keep your back flat throughout the move, avoiding any rounding of the spine.Keeping your knees ""soft"", hinge your hips backwards, letting the kettlebell swing between your knees. You want to bend from the hips as far as you can without letting your back round forwards . Then, snap your hips forwards quickly and standing up straight, locking your body in an upright posture. The speed you do this will cause your arms and the kettlebell to swing up in front of you. Don't try to lift the kettlebell with your arms. The snapping forwards of your hips will cause the kettlebell to swing forwards through momentum. Depending on the weight of the kettlebell and the speed of your hip movement, your arms will swing up to about shoulder height. At the top of this swing, let your hips hinge backwards again as the kettlebell swings back down to between your legs and the start of the next repetition."
wger_346,Landmine press,,,,Barbell,Shoulders,Shoulders,Chest|Triceps,
wger_323,Cable Cross-over,,,,,Chest,Chest,Shoulders,"Begin with cables at about shoulder height, one in each hand. Take a step forward so that one foot is in front of the other, for stability, and so that there is tension on the cables. Bring hands together in front of you. Try to make your hands overlap (so that the cables cross) a few inches."
wger_319,Jogging,,,,,Cardio,,,"Get your shoes on, go outside and start running at a moderate pace."
wger_380,Leverage Machine Iso Row,,,,,Back,Lats,,Adjust seat height so that the handles are at the bottom of your pectorals or just below.
wger_395,"Long-Pulley, Narrow",,,,,Back,Lats,Biceps|Brachialis,"The exercise is the same as the regular long pulley, but with a narrow grip: Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched."
wger_427,Negative Crunches,,,,,Abs,Abs,,"Sit yourself on the decline bench and fix your legs. Cross your arms over the chest and bring with a rolling movement your upper body up, go now without a pause and with a slow movement down again. Don't let your head move during the exercise."
wger_418,Military Press mit SZ-Bar,,,,SZ-Bar,Shoulders,,,"On an SZ-bar grip your hands on the outside of each bend and stand with your arms straight down, palms facing your legs. Pull the bar (bending your arms at the elbow) to your chest, and the push the bar above your head (arms as straight as possible). Return the bar to your chest by dropping your arms at the elbows. Return the bar to it's origional position (stand with your arms straight down, palms facing your legs.)"
wger_386,Diamond push ups,,,,none (bodyweight exercise),Chest,Chest,Triceps,
wger_378,"Leg Raises, Standing",,,,,Abs,Abs,Serratus anterior,"Put your forearms on the pads on the leg raise machine, the body is hanging freely. Lift now your legs with a fast movement as high as you can, make a short pause of 1sec at the top, and bring them down again. Make sure that during the exercise your body does not swing, only the legs should move."
wger_917,Straight Bar Cable Front Raise,,,,SZ-Bar,Shoulders,Shoulders,,"Back to cable tower, cable between legs, SZ Bar"
wger_379,Leverage Machine Chest Press,,,,,Chest,Chest,,Be sure to adjust seat height so that the handles are towards the bottom of your pectorals.
wger_957,Quadriped Arm and Leg Raise,,,,none (bodyweight exercise),Back,Shoulders|Glutes|Serratus anterior|Trapezius,Lats,"In this exercise, the back muscles and the muscles of the back of the leg and back of the arm are activated by lifting the crossed arm and leg at the same time in the crawling position. It also improves balance and proprioception. The movement is done symmetrically. 1. Get into a crawling posture.2. Draw your abdomen in, then raise your right leg and left arm.3. You should keep your abdomen in for 8 seconds.4. After 8 seconds, slowly lower your arm and leg.5. Then release your muscle."
wger_377,"Leg Raises, Lying",,,,Gym mat,Abs,Abs,Serratus anterior,Lay down on a bench and hold onto the recliner with your hands to keep you stable. Hold your legs straight and lift them till they make an angle of about 45°. Make a short pause of 1 sec. and go slowly down to the initial position. To increase the intensity you can make a longer pause of 7 sec. every 5th time.
wger_376,Leg Raise,,,,,Legs,Obliquus externus abdominis|Abs,,"The leg raise is a strength training exercise which targets the iliopsoas (the anterior hip flexors). Because the abdominal muscles are used isometrically to stabilize the body during the motion, leg raises are also often used to strengthen the rectus abdominis muscle and the internal and external oblique muscles."
wger_394,Long-Pulley (low Row),,,,,Back,Lats,Biceps|Brachialis,"Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched."
wger_397,Low Box Squat - Wide Stance,,,,Barbell,Legs,Glutes|Quads,,"Unrack the bar and set your stance wide, beyond your hips. Push your hips back and sit down to a box that takes you below parallel. Sit completely down, do not touch and go. Then explosively stand up. Stay tight in your upper back and torso throughout the movement."
wger_406,Lying Rotator Cuff Exercise,,,,Dumbbell,Shoulders,,,"This is an excercise for problems with the levator muscles. Primary Infraspinatus, secondary Teres Minor. Lying on side. Keep elbow on waist and in 90 dgr angle. Rotate towards stomach. Add weight as fit."
wger_367,Leg Curls (standing),,,,,Legs,Hamstrings,,
wger_375,Leg Press on Hackenschmidt Machine,,,,,Legs,Quads,,
wger_373,Leg Presses (narrow),,,,,Legs,Quads,Glutes,"The exercise is very similar to the wide leg press: Sit on the machine and put your feet on the platform so far apart that you could just put another foot in between them. The feet are parallel and point up. Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid."
wger_374,Leg Presses (wide),,,,,Legs,Quads,Glutes,"Sit on the machine and put your feet on the platform, a bit more than shoulder wide. The feet are turned outwards by a few degrees. Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid."
wger_371,Leg Press,,,,,Legs,Hamstrings|Calves|Glutes|Quads,Calves|Glutes,The leg press is a weight training exercise in which the individual pushes a weight or resistance away from them using their legs.
wger_423,Muscle up,,,,Pull-up bar,Back,Biceps|Hamstrings,,"The body is then explosively pulled up by the arms in a radial pull-up, with greater speed than a regular pull-up. When the bar approaches the upper chest, the wrists are swiftly flexed to bring the forearms above the bar. The body is leaned forward, and the elbows are straightened by activating the triceps. The routine is considered complete when the bar is at the level of the waist and the arms are fully straight. To dismount, the arms are bent at the elbow, and the body is lowered to the floor, and the exercise can be repeated. As a relatively advanced exercise, muscle-ups are typically first learned with an assistive kip. The legs swing (kip) up and provide momentum to assist in the explosive upward force needed to ascend above the bar. More advanced athletes can perform a strict variation of the muscle-up which is done slowly, without any kip. This variation begins with a still dead hang and uses isometric muscle contraction to ascend above the bar in a slow, controlled fashion."
wger_382,L Hold,,,,,Abs,,,Hold the L position for as long as possible
wger_448,Pendelay Rows,,,,Barbell,Back,Lats|Trapezius,Biceps|Triceps,Back excercise with a barbell with a starting position which is in a bent over position with the back paralell to the ground. The barbell is on the ground at chest level.For the movement grab the barbell at shoulder width grip and pull towards your chest without losing the bent over position and without moving anything but your arms
wger_484,Rack Deadlift,,,,,Back,Glutes,Biceps,"Deadlift to be done using a Smith machine or a free rack. Bar or barbell hould be just right under the knee cap level. Lift using the glutes and through the heels, then come back to starting postion with a control movement of 2 seconds. This exercise targets mainly the lower back and glutes."
wger_478,Push Press,,,,,Shoulders,Trapezius,Glutes,"Clean your dumbbells onto your shoulders, palms facing in. Take a breath and brace your core.&nbsp;(picture 1) &nbsp; Dip at the knees and use your legs to help&nbsp;(picture 2)&nbsp;press your dumbbells overhead. Lower under control with a slow tempo to your shoulders and repeat."
wger_445,Pause Bench,,,,"Barbell, Bench",Chest,Chest,Triceps,"Lower the bar to your chest and pause (but do not rest) there for 2 seconds. Press back up. use the same weight you would on bench press, but perform only single reps. Total the number of reps you did in one set of bench press (if you did 3 sets of 8 do 8 sinlge pause bench reps."
wger_465,Preacher Curls,,,,SZ-Bar,Arms,Brachialis,Brachialis,Place the EZ curl bar on the rest handles in front of the preacher bench. Lean over the bench and grab the EZ curl bar with palms up. Sit down on the preacher bench seat so your upper arms rest on top of the pad and your chest is pressed against the pad. Lower the weight until your elbows are extended and arms are straight. Bring the weights back up to the starting point by contracting biceps. Repeat
wger_468,Prone Scapular Retraction - Arms at Side,,,,,Back,Trapezius,,"Lying on stomach with head on towel. Stretch arms straight out to your sides. Slowly lift your arms, pulling your shoulderblades together, hold for 3 seconds."
wger_454,Pike Push Ups,,,,none (bodyweight exercise),Arms,Chest,Triceps,Push Up performed from a pike position (optional to have feet elevated).
wger_487,Rear Delt Raises,,,,Dumbbell,Shoulders,,,Seated on a bench bWith the dumbbells on the floor bend over at 45 Degrees and then slowly raise each dumbbell to shoulder height and hold for a couple seconds before lowering to the starting position.
wger_456,Pistol Squat,,,,,Legs,Hamstrings|Glutes,Shoulders|Biceps|Brachialis,"Stand with feet hip-width apart, toes pointed forward, and chest tall. Extend your leg straight out; extend both arms in front of you, at shoulder level. Brace your core and look straight ahead. Slowly squat down.&nbsp; (optional) pause at the bottom.&nbsp; Keep your (free) leg and arms extended for the whole duration."
wger_477,Pull Ups on Machine,,,,,Back,Lats,Shoulders|Biceps|Trapezius,
wger_918,Seated Dumbbell Side Lateral,,,,Dumbbell,Shoulders,Shoulders,,seated slightly leaned forward at beginning of exercise
wger_475,Pull-ups,,,,Pull-up bar,Back,Lats,Shoulders|Biceps|Trapezius,"Grab the pull up bar with a wide grip, the body is hanging freely. Keep your chest out and pull yourself up till your chin reaches the bar or it touches your neck, if you want to pull behind you. Go with a slow and controlled movement down, always keeping the chest out."
wger_439,Overhand Cable Curl,,,,,Abs,Biceps,,"Hands at shoulder height, curl arms in toward head, then back out."
wger_458,Plank,,,,none (bodyweight exercise),Abs,Obliquus externus abdominis|Abs,Biceps|Quads|Triceps,Get into a position on the floor supporting your weight on your forearms and toes. Arms are bent and directly below the shoulder.&nbsp; Keep your body straight at all times and hold this position as long as possible. To increase difficulty an arm or leg can be raised while performing this exercise.
wger_545,Scissors,,,,,Abs,Abs,,"Scissors is an abdominal exercise that strengthens the transverse abdominals, helping flatten your belly and strengthen your entire core. Scissors is not only a core strength move, but it is also a great stretch for your hamstrings and your lower back. Everyone is looking for new ways to work the core, to flatten the belly and to improve flexibility. If you learn how to do Scissors you will get everything rolled together in one move."
wger_495,Reverse Curl,,,,"Barbell, Dumbbell",Arms,Biceps|Brachialis,Biceps,The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise.
wger_512,"Rowing seated, narrow grip",,,,,Back,Lats,,Tighten muscles Controlled movement Slow movement Keep upper body upright Do not lean back Pull toward chest
wger_493,Reverse Bar Curl,,,,SZ-Bar,Arms,Biceps,,"Hold bar with reverse (or ""overhand"") grip, palms facing the floor."
wger_490,Renegade Row,,,,Dumbbell,Back,Lats|Trapezius,,"Get into pushup position gripping some dumbbells. Perform one pushup, then drive your left elbo up, bringing the dumbell up to your body. Return the dumbell to starting position. Perform another pushup and then row with the other arm to complete one rep."
wger_513,"Rowing, T-bar",,,,,Back,Lats,Shoulders|Biceps|Brachialis,"The execution of this exercise is very similar to the regular bent over rowing, only that the bar is fixed here. Grab the barbell with a wide grip (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise. Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body."
wger_549,Seated Triceps Press,,,,"Bench, Dumbbell",Arms,Triceps,,"Sit down on a back (better with back support). Take a dumbbell firmly with both hands and hold it with extended arms over your head. With your palms facing upward and holding the weight of the dumbbell, slowly lower the weight behind your head."
wger_919,T-Bar row,,,,Barbell,Back,Lats|Trapezius,,"bent over with triangle grip, slightly bent knees"
wger_508,Row,,,,"Barbell, Dumbbell, Pull-up bar",Back,Lats|Trapezius,Quads,"In strength training, rowing (or a row, usually preceded by a qualifying adjective — for instance a seated row) is an exercise where the purpose is to strengthen the muscles that draw the rower's arms toward the body (latissimus dorsi) as well as those that retract the scapulae (trapezius and rhomboids) and those that support the spine (erector spinae). When done on a rowing machine, rowing also exercises muscles that extend and support the legs (quadriceps and thigh muscles). In all cases, the abdominal and lower back muscles must be used in order to support the body and prevent back injury."
wger_516,Front Wood Chop,,,,,Back,,,
wger_510,"Rowing, Lying on Bench",,,,,Back,Lats,,
wger_501,Ring Dips,,,,,Arms,Triceps,,Dips peformed on gymnastic rings.
wger_525,Bent Over Rowing Reverse,,,,Barbell,Back,Lats,Shoulders|Biceps,
wger_507,Romanian Deadlift,,,,Barbell,Legs,,,DL from top to pos 2: https://www.youtube.com/watch?v=WtWtjViRsKo
wger_505,Roman Chair,,,,,Abs,,,Crunches on roman chair
wger_543,"Shoulder Press, on Machine",,,,,Shoulders,Shoulders,Triceps,
wger_498,Reverse Grip Bench Press,,,,"Barbell, Bench",Chest,Chest|Triceps,Shoulders,Upper chest focuses exercise that also works triceps
wger_529,Run - Interval Training,,,,,Cardio,,,"Run and do some interval trainings such as hill repat, fartlek,.."
wger_538,Incline Bench Press - Barbell,,,,"Barbell, Incline bench",Chest,Chest,Shoulders|Triceps,"To do slowly, tempo is 4010"
wger_1635,Modified pulldown,,,,Incline bench,Back,Lats,,"With an inclined bench in front of the pulldown machine, use a close-grip to do latfocused pulldowns."
wger_1639,Dumbbell Bent Over Face Pull,,,,Dumbbell,Back,Shoulders|Lats,Trapezius,"This exercise involves using dumbbells to perform a bent over face pull, which targets the upper back and shoulders. The movement involves pulling the weights towards the face while keeping the elbows high and squeezing the shoulder blades together."
wger_1713,Doorway Pectoral Stretch,,,,none (bodyweight exercise),Chest,Chest,,"Place the forearm vertically on a door frame or stationary object at head height Step forward past the arm, keeping it still against the object to stretch the chest"
wger_527,Run,,,,,Cardio,,,"Running or jogging outside in a park, on the tracks,..."
wger_539,Incline Bench Press - MP,,,,,Chest,Chest,Shoulders|Triceps,
wger_500,Reverse Plank,,,,,Abs,,,Plank with stomach towards ceiling
wger_562,Shotgun Row,,,,,Back,Lats,,"Attach a single handle to a low cable. After selecting the correct weight, stand a couple feet back with a wide-split stance. Your arm should be extended and your shoulder forward. This will be your starting position. Perform the movement by retracting the shoulder and flexing the elbow. As you pull, supinate the wrist, turning the palm upward as you go. After a brief pause, return to the starting position."
wger_607,Splinter Sit-ups,,,,,Abs,Obliquus externus abdominis,,"Lie on your back with your legs straight and arms at your sides, keeping your elbows bent at 90 degrees. As you sit up, twist your upper body to the left and bring your left knee toward your right elbow while you swing your left arm back. Lower your body to the starting position, and repeat to your right. That's 1 rep."
wger_604,Speed Deadlift,,,,,Legs,,,Deadlift with short (less than one 1min) rest between sets.
wger_569,"Shoulder Press, on Multi Press",,,,,Shoulders,Shoulders,,"The exercise is basically the same as with a free barbell: Sit on a bench, the back rest should be almost vertical. Take a bar with a shoulder wide grip and bring it down to chest height. Press the weight up, but don't stretch the arms completely. Go slowly down and repeat."
wger_591,Sit-ups,,,,,Abs,Abs,,"Sit on a mat, your calves are resting on a bench, the knees make a right angle. Hold your hands behind your neck. Go now up with a rolling movement of your back, you should feel how the individual vertebrae lose contact with the mat. At the highest point, contract your abs as much as you can and hold there for 2 sec. Go now down, unrolling your back."
wger_906,Barbell Hip Thrust,,,,,Legs,,,"Sit on the ground with a bench behind you, bending your knees so your feet are planted on the ground and holding a barbell resting below your hips. If you have a padded bar, or anything you can slip in between the bar and your body, it will go a long way to making the exercise more comfortable."
wger_920,V-BAR PULL DOWNS,,,,,Back,Lats,,"Cable machine, leaned forward during negative, lean back during contraction"
wger_567,"Shoulder Press, Dumbbells",,,,Dumbbell,Shoulders,Shoulders,,"Sit on a bench, the back rest should be almost vertical. Take two dumbbells and bring them up to shoulder height, the palms and the elbows point during the whole exercise to the front. Press the weights up, at the highest point they come very near but don't touch. Go slowly down and repeat."
wger_566,"Shoulder Press, Barbell",,,,Barbell,Shoulders,Shoulders,,"Sit on a bench, the back rest should be almost vertical. Take a barbell with a shoulder wide grip and bring it up to chest height. Press the weight up, but don't stretch the arms completely. Go slowly down and repeat."
wger_584,Single-arm Preacher Curl,,,,Dumbbell,Arms,Biceps,,"Sit on the preacher curl bench and perform a bicep curl with a dumbbell in one hand. Your other hand can be at rest, or beneath your curling arm's elbow."
wger_590,Sitting Calf Raises,,,,,Calves,Soleus,Calves,"Sit on a bench for calf raises and check that the feet are half free and that you can completely stretch the calf muscles down. Pull your calves up, going as far (up) as you can. Make at the highest point a short pause of 1 or 2 seconds and go down."
wger_577,Side Dumbbell Trunk Flexion,,,,Dumbbell,Abs,Obliquus externus abdominis,Abs,"AKA dumbbell side bends. Stand in line with the hips with slightly bent knees, maintain the natural curvature of the spine, hand stretched by the body, grip the barbell with one hand. Make slow and controlled torso side flexions till you reach the angle of approximately 45°."
wger_583,Side to Side Push Ups,,,,,Chest,Shoulders|Obliquus externus abdominis|Chest|Triceps,,"-start in push up position -lean the body weight to the right side, and complete a push up with the chest over the right hand -come back to the centered position -on rep 2, lean to the left side"
wger_598,Smith Machine Close-grip Bench Press,,,,,Arms,Triceps,Chest,"Perform a standard bench press on the smith machine, but have your hands on the bar about shoulder width apart, and keep your elbows close to your body."
wger_576,Side Crunch,,,,Gym mat,Abs,Obliquus externus abdominis,Abs,Hold weight in one hand. Bend side ways to the knee. Pull upo to upright position using your obliquus.
wger_571,"Shrugs, Barbells",,,,Barbell,Shoulders,Shoulders,,"Take a barbell and stand with a straight body, the arms are hanging freely in front of you. Lift from this position the shoulders as high as you can, but don't bend the arms during the movement. On the highest point, make a short pause of 1 or 2 seconds before returning slowly to the initial position. When training with a higher weight, make sure that you still do the whole movement!"
wger_578,Side-lying External Rotation,,,,,Shoulders,,,"With a weight in one hand, lie on your side opposite the weight. Keep your knees slightly bent. Hold your elbow against your side, and extend your upper arm straight ahead of you. While continuing to hold your elbow against your side, rotate your upper arm 90 degrees upwards. It is helpful to place a towel under your armpit to help with the form on this exercise. Placing a support under your head for the duration of the exercise is also a good idea."
wger_575,Shrugs on Multipress,,,,,Shoulders,Shoulders,Triceps,
wger_572,"Shrugs, Dumbbells",,,,Dumbbell,Shoulders,Shoulders,,"Stand with straight body, the hands are hanging freely on the side and hold each a dumbbell. Lift from this position the shoulders as high as you can, but don't bend the arms during the movement. On the highest point, make a short pause of 1 or 2 seconds before returning slowly to the initial position. When training with a higher weight, make sure that you still do the whole movement!"
wger_595,Skipping - Standard,,,,,Cardio,Calves,,"Do a single, double footed jump for each swing of the rope. Work on a smooth, rhythmical movement, bouncing lightly on the balls of your feet."
wger_570,Shoulder Shrug,,,,none (bodyweight exercise),Shoulders,Trapezius,,"The shoulder shrug (usually called simply the shrug) is an exercise in weight training used to develop the upper trapezius muscle. The lifter stands erect, hands about shoulder width apart, and raises the shoulders as high as possible, and then lowers them, while not bending the elbows, or moving the body at all. The lifter may not have as large a range of motion as in a normal shrug done for active flexibility. It is usually considered good form if the slope of the shoulders is horizontal in the elevated position."
wger_580,Side Plank,,,,none (bodyweight exercise),Abs,Abs,Obliquus externus abdominis,Works your obliques and helps stabilize your spine. Lie on your side and support your body between your forearm and knee to your feet.
wger_556,Side Bends on Machine,,,,Dumbbell,Abs,Obliquus externus abdominis,Abs,
wger_628,Straight-arm Pull Down (bar Attachment),,,,,Back,Lats,Triceps,"Use the straight bar attachment on a high pulley. Grasp the two ends of the bar with your palms facing downward and your arms straight out in front of you. Pull your hands down towards your hips, while keeping your arms straight, then raise them back up to the starting position."
wger_632,Sumo Squats,,,,none (bodyweight exercise),Legs,Glutes|Quads,,"Stand with your feet wider than your shoulders, with your toes pointed out at a 45 degree angle and barbell on your shoulder. While keeping your back straight, descend slowly by bending at the knees and hips as if you are sitting down (squatting). Lower yourself until your quadriceps and hamstrings are parallel to the floor. Return to the starting position by pressing upwards and extending your legs while maintaining an equal distribution of weight on your forefoot and heel."
wger_629,Straight-arm Pull Down (rope Attachment),,,,,Back,Lats,Triceps,"Use the rope attachment on a high pulley. Grasp the two ends of the rope with your arms straight out in front of you. Pull your hands down towards your hips, while keeping your arms straight, then raise them back up to the starting position."
wger_624,Stationary Bike,,,,,Cardio,,,Ride a Stationary Bike with various tensions.
wger_630,Sumo Deadlift,,,,,Legs,Quads,,"Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms. Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees. As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together. Return the weight to the ground by bending at the hips and controlling the weight on the way down."
wger_616,Squat Thrust,,,,none (bodyweight exercise),Legs,Glutes|Quads|Abs|Soleus,,"The burpee, or squat thrust, is a full body exercise used in strength training and as an aerobic exercise. The basic movement is performed in four steps and known as a four-count burpee: Begin in a standing position. Move into a squat position with your hands on the ground. (count 1) Kick your feet back into a plank position, while keeping your arms extended. (count 2) Immediately return your feet into squat position. (count 3) Stand up from the squat position (count 4)"
wger_627,Stiff-legged Deadlifts,,,,Barbell,Legs,Hamstrings,Glutes,Keep legs straight Keep back straight
wger_622,Standing Calf Raises,,,,,Calves,Calves,Soleus,"Get onto the calf raises machine, you should able to completely push your calves down. Stand straight, don't make a hollow back and don't bend your legs. Pull yourself up as high as you can. Make a small pause of 1 - 2 seconds and go slowly down."
wger_614,Squat Jumps,,,,,Legs,Quads,,"Jump wide, then close"
wger_615,Squats,,,,Barbell,Legs,Quads,Glutes,"Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back, and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position."
wger_621,Standing Bicep Curl,,,,Dumbbell,Arms,Biceps|Brachialis,Brachialis,Stand holding dumbbells at shoulder width apart. Face forearm upward and keep upper arm still while raising each dumbbell up to your shoulder.
